Washington,Arizona,Nevada,California,Oregon,Customer Lifetime Value,Response,Coverage,Education,Employed,Unemployed,Medical_Leave,Disabled,Retired,Female,Male,Income,Suburban,Rural,Urban,Married,Single,Divorced,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Corporate Auto,Personal Auto,Special Auto,Corporate L3,Personal L3,Corporate L2,Personal L1,Special L2,Corporate L1,Personal L2,Special L1,Special L3,Renew Offer Type,Agent,Call Center,Web,Branch,Total Claim Amount,Two Door,Four Door,SUV,Luxury SUV,Sports Car,Luxury Car,Vehicle Size,Activation_date
1,0,0,0,0,2763.52,No,1,2,1,0,0,0,0,1,0,56274,1,0,0,1,0,0,69,32,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,Offer1,1,0,0,0,384.81,1,0,0,0,0,0,2,2011-02-24
0,1,0,0,0,6979.54,No,2,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,94,13,42,0,8,0,1,0,0,1,0,0,0,0,0,0,0,Offer3,1,0,0,0,1131.46,0,1,0,0,0,0,2,2011-01-31
0,0,1,0,0,12887.43,No,3,2,1,0,0,0,0,1,0,48767,1,0,0,1,0,0,108,18,38,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,566.47,1,0,0,0,0,0,2,2011-02-19
0,0,0,1,0,7645.86,No,1,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,106,18,65,0,7,1,0,0,0,0,1,0,0,0,0,0,0,Offer1,0,1,0,0,529.88,0,0,1,0,0,0,2,2011-01-20
1,0,0,0,0,2813.69,No,1,2,1,0,0,0,0,0,1,43836,0,1,0,0,1,0,73,12,44,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Offer1,1,0,0,0,138.13,0,1,0,0,0,0,2,2011-02-03
0,0,0,0,1,8256.3,Yes,1,2,1,0,0,0,0,1,0,62902,0,1,0,1,0,0,69,14,94,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,0,0,1,0,159.38,1,0,0,0,0,0,2,2011-01-25
0,0,0,0,1,5380.9,Yes,1,2,1,0,0,0,0,1,0,55350,1,0,0,1,0,0,67,0,13,0,9,1,0,0,1,0,0,0,0,0,0,0,0,Offer1,1,0,0,0,321.6,0,1,0,0,0,0,2,2011-02-24
0,1,0,0,0,7216.1,No,3,3,0,1,0,0,0,0,1,0,0,0,1,0,1,0,101,0,68,0,4,1,0,0,1,0,0,0,0,0,0,0,0,Offer1,1,0,0,0,363.03,0,1,0,0,0,0,2,2011-01-18
0,0,0,0,1,24127.5,Yes,1,2,0,0,1,0,0,0,1,14072,1,0,0,0,0,1,71,13,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,Offer1,1,0,0,0,511.2,0,1,0,0,0,0,2,2011-01-26
0,0,0,0,1,7388.18,No,2,2,1,0,0,0,0,1,0,28812,0,0,1,1,0,0,93,17,7,0,8,0,0,1,0,0,0,0,1,0,0,0,0,Offer2,0,0,0,1,425.53,0,1,0,0,0,0,2,2011-02-17
0,0,0,1,0,4738.99,No,1,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,67,23,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,Offer1,1,0,0,0,482.4,0,1,0,0,0,0,1,2011-02-21
0,0,0,1,0,8197.2,No,1,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,110,27,87,0,3,0,1,0,0,1,0,0,0,0,0,0,0,Offer2,1,0,0,0,528.0,0,0,1,0,0,0,2,2011-01-06
0,0,0,1,0,8798.8,No,3,3,1,0,0,0,0,0,1,77026,0,0,1,1,0,0,110,9,82,2,3,1,0,0,0,0,0,0,0,1,0,0,0,Offer2,1,0,0,0,472.03,0,1,0,0,0,0,2,2011-02-06
0,1,0,0,0,8819.02,Yes,1,1,1,0,0,0,0,0,1,99845,1,0,0,1,0,0,110,23,25,1,8,1,0,0,1,0,0,0,0,0,0,0,0,Offer2,0,0,0,1,528.0,0,0,1,0,0,0,2,2011-01-10
0,0,0,1,0,5384.43,No,1,2,1,0,0,0,0,0,1,83689,0,0,1,0,1,0,70,21,10,2,8,1,0,0,1,0,0,0,0,0,0,0,0,Offer4,0,1,0,0,307.14,0,1,0,0,0,0,2,2011-01-18
0,0,0,0,1,7463.14,No,1,2,1,0,0,0,0,1,0,24599,0,1,0,1,0,0,64,12,50,1,2,1,0,0,0,0,1,0,0,0,0,0,0,Offer2,0,0,0,1,42.92,0,1,0,0,0,0,2,2011-01-17
